Tweet,Sentimentvalue,Sentiment
"So There Is This New House Been Built In My Area And One Of The Bricklayers Fell While Plastering, In No Time Anoth… https://t.co/Z4nKWrNvzx",0.13636363636363635,positive
"@houverby @pastor_keyworth @Unathi_Kwaza He is holding his organization ANC at ransom, @zuma has got some demands b… https://t.co/WdmnXQZlg0",0.0,neutral
"RT @BTSorbit: BTS12M 🎉🎊🎉🎊🎉
#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt https://t.co/kSaYoKOoWq",0.0,neutral
"RT @Gifty_Jacobs: Success really is on the other side of fear....

You are either a shark or a fish
A lion or a sheep
A hammer or the nail…",0.125,positive
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
RT @FOLABI__: Baba don dey post quotes 😂😂😂😂😂😂😂 https://t.co/ub0NfGIzng,0.0,neutral
Baba Rehmata is there to take notice but he declared participant Sadiq and Amin. https://t.co/yXaLxGkBx0,0.0,neutral
Back to school vibes ..grade 4 ...Jaden enjoy and all the best my baba💋💖,0.4666666666666666,positive
@Zha4ld Lmao.. baba I just said that I would pick peak Ronaldinho over Messi.. do you want to convince me otherwise?? Lmao,0.6,positive
@UmarCheema1 Perhaps Baba feel bad intention from some corner. Still the SC should not waste its time to please or… https://t.co/APEAECYLYq,-0.29999999999999993,negative
@yogrishiramdev @amitabhk87 @Ach_Balkrishna @agarwal_gaurav @tanmaysaksena @theknownface @amitsins @VishalShop… https://t.co/8dkCnCduzH,0.0,neutral
"RT @Gichy_: ""Nothing in the world is more dangerous than sincere ignorance and conscientious stupidity.”

-Martin Luther King Jr. 1963 http…",-0.04999999999999999,negative
"Because @RoghanBadam adds more taste to my favourite kheer and you 
#ExpectMore from it 😍 https://t.co/psPpRAk9Yr",0.5,positive
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
"RT @mackio_: I feel like you guys just sit around a table and ask ""what's the dumbest question we can come up with today?"" https://t.co/6Y6…",0.0,neutral
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
God we need Ur #Maylight to turn all our tumbles. #Successful emi omo Jesu baba we re thankful. @iruntown keep the jam coming bro,0.75,positive
RT @mothergoose2020: Fantastic weekend with my baba's xx at Anfield xx https://t.co/RTo2D8ZDQL,0.4,positive
"RT @SubDeliveryTwit: Show Yourself Na

Baba Still Pick Race LMAOOOOO!😀🤣 https://t.co/qxqB3YEizS",0.0,neutral
@iamitp Yes ! You get one melt in a mouth product presented as another melt in mouth. Hope it tasted good.,0.7,positive
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
"RT @pakalupapito: life is soup, i am a fork",0.0,neutral
RT @wizkidayo: Ogun go kill all of una! Shey mo jor iRobot? https://t.co/aPPAm7JAxU,0.0,neutral
RT @BrianMutuma_: Come I give you this Fig Tree 😂😂 https://t.co/qLRFrHXZWG,0.0,neutral
RT @broebong: Damn... the president of the United States been slacking so hard that the world wide president had to step in. https://t.co/G…,-0.19583333333333336,negative
RT @FOLABI__: Baba don dey post quotes 😂😂😂😂😂😂😂 https://t.co/ub0NfGIzng,0.0,neutral
I liked a @YouTube video https://t.co/IoTPSL5VLm BABA KA PRASAAD | VINE | Awanish Singh,0.6,positive
@Sporty_Baba That's what I felt too. Because Kakori is already a buttery Kabab.,0.0,neutral
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
RT @WahidSaka: @AAAdeyeye @raufaregbesola @T_Reformer @cyberseye05 @TunsFarmsNig @deraufs @boamovement2018 @Mr_JAGs @allfuturevoice @titilo…,0.0,neutral
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
"#Patanjali Goes #Online, Aims Over Rs 1,000 Crore Sales in 2018: Baba Ramdev-led Patanjali… https://t.co/yb9RGax6tw",0.0,neutral
"RT @OSUN_APC: Happy 79th birthday to our National Leader, Chief Bisi Akande!!!. Baba we are blessed to have you. https://t.co/XKUNehCpp9",1.0,positive
"RT @AsiwajuTinubu: Happy birthday to Chief Bisi Akande. Ex-governor,  former APC Interim Chairman, indefatigable leader and dependable ally…",0.4,positive
😂😂 people always picking the wrong subarus haha https://t.co/bfLKQzCtGk,-0.15,negative
RT @option_snipper: holding NOTHING into tmr. no positions. just cash out all gains to bank acct after an amazing day!!! glad i locked my g…,0.75,positive
RT @rohitlalwani: Happening now #Villgro Unconvention Speaker Series at #Pune. #Incubator #Inventors #Investors and more! Making startup bi…,0.625,positive
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
RT @DrBaviskar1956: @shirdi_saibaba  On the name of  god  sai baba help me for poor adivasi peoples in  satpuda hilli  scheduled  area.,-0.4,negative
@SylvesterAbiolu Baba shey you don see wetin they have do us oh,0.0,neutral
"RT @TobiDaGreatest: So,Mum askd me to make her Amala nd she wnt Out so after doin d Amala,i wrapped it insyd polythene nd call'd out 2 her…",0.0,neutral
@meka_george @mosopeIV I think fans tend to overrate players after they retire. You people fail to remember that ro… https://t.co/5F7M1GqRyp,-0.5,negative
"@Unathi_Kwaza Late comers always causing stampede, courtesy of late announcement #free education BY ZUMA",-0.06666666666666665,negative
"@ItsMutai Either baba swears himself in alone minus the other principals including kalonzo,or he retires from polit… https://t.co/0cR1nu86p4",-0.1125,negative
